,north,east,south,west
2022-01-21 03:30:00+00:00,1.5737897150557491e-12,1.5737897150557491e-12,1.5737897150557491e-12,1.5737897150557491e-12
2022-01-21 03:35:00+00:00,1.2876461305001582e-12,1.2876461305001582e-12,1.2876461305001582e-12,1.2876461305001582e-12
2022-01-21 03:40:00+00:00,1.053528652227402e-12,1.053528652227402e-12,1.053528652227402e-12,1.053528652227402e-12
2022-01-21 03:45:00+00:00,8.619779881860561e-13,8.619779881860561e-13,8.619779881860561e-13,8.619779881860561e-13
2022-01-21 03:50:00+00:00,7.05254717606773e-13,7.05254717606773e-13,7.05254717606773e-13,7.05254717606773e-13
2022-01-21 03:55:00+00:00,5.770265871328143e-13,5.770265871328143e-13,5.770265871328143e-13,5.770265871328143e-13
2022-01-21 04:00:00+00:00,4.721126621995752e-13,4.721126621995752e-13,4.721126621995752e-13,4.721126621995752e-13
2022-01-21 04:05:00+00:00,3.8627399634510697e-13,3.8627399634510697e-13,3.8627399634510697e-13,3.8627399634510697e-13
2022-01-21 04:10:00+00:00,3.160423606459966e-13,3.160423606459966e-13,3.160423606459966e-13,3.160423606459966e-13
2022-01-21 04:15:00+00:00,2.585801132558154e-13,2.585801132558154e-13,2.585801132558154e-13,2.585801132558154e-13
2022-01-21 04:20:00+00:00,2.1156554720930348e-13,2.1156554720930348e-13,2.1156554720930348e-13,2.1156554720930348e-13
2022-01-21 04:25:00+00:00,1.730990840803392e-13,1.730990840803392e-13,1.730990840803392e-13,1.730990840803392e-13
2022-01-21 04:30:00+00:00,1.416265233384593e-13,1.416265233384593e-13,1.416265233384593e-13,1.416265233384593e-13
2022-01-21 04:35:00+00:00,1.1587624636783033e-13,1.1587624636783033e-13,1.1587624636783033e-13,1.1587624636783033e-13
2022-01-21 04:40:00+00:00,9.480783793731571e-14,9.480783793731571e-14,9.480783793731571e-14,9.480783793731571e-14
2022-01-21 04:45:00+00:00,7.757004922144011e-14,7.757004922144011e-14,7.757004922144011e-14,7.757004922144011e-14
2022-01-21 04:50:00+00:00,6.3466403908451e-14,6.3466403908451e-14,6.3466403908451e-14,6.3466403908451e-14
2022-01-21 04:55:00+00:00,5.192705774327808e-14,5.192705774327808e-14,5.192705774327808e-14,5.192705774327808e-14
2022-01-21 05:00:00+00:00,4.2485774517227515e-14,4.2485774517227515e-14,4.2485774517227515e-14,4.2485774517227515e-14
