,external_temperature_left,external_temperature_right,temperature
2022-01-15 03:45:00+00:00,51.704925338147625,37.71793090927968,24.5004149933429
2022-01-15 03:50:00+00:00,51.70328355876509,37.678620606186456,24.5002766622286
2022-01-15 03:55:00+00:00,51.70218903917672,37.652413737457636,24.500184441485732
2022-01-15 04:00:00+00:00,51.70145935945115,37.63494249163842,24.500122960990485
2022-01-15 04:05:00+00:00,51.70097290630076,37.62329499442561,24.500081973993655
2022-01-15 04:10:00+00:00,51.7006486042005,37.61552999628375,24.500054649329105
2022-01-15 04:15:00+00:00,51.70043240280034,37.61035333085584,24.500036432886066
2022-01-15 04:20:00+00:00,51.70028826853356,37.60690222057056,24.50002428859071
2022-01-15 04:25:00+00:00,51.70019217902237,37.604601480380374,24.500016192393804
2022-01-15 04:30:00+00:00,51.70012811934825,37.60306765358692,24.5000107949292
2022-01-15 04:35:00+00:00,51.70008541289883,37.60204510239128,24.500007196619464
2022-01-15 04:40:00+00:00,51.70005694193255,37.60136340159419,24.50000479774631
2022-01-15 04:45:00+00:00,51.666704627955035,37.60090893439613,24.50000319849754
2022-01-15 04:50:00+00:00,51.64446975197003,37.60060595626408,24.50000213233169
2022-01-15 04:55:00+00:00,51.62964650131335,37.60040397084273,24.500001421554458
2022-01-15 05:00:00+00:00,51.6197643342089,37.600269313895154,24.500000947702972
2022-01-15 05:05:00+00:00,51.61317622280594,37.60017954259677,24.50000063180198
2022-01-15 05:10:00+00:00,51.608784148537296,37.600119695064514,24.50000042120132
2022-01-15 05:15:00+00:00,51.57252276569153,37.56674646337634,24.50000028080088
2022-01-15 05:20:00+00:00,51.54834851046102,37.544497642250896,24.500000187200584
2022-01-15 05:25:00+00:00,51.53223234030734,37.52966509483393,24.50000012480039
2022-01-15 05:30:00+00:00,51.521488226871554,37.51977672988929,24.500000083200263
2022-01-15 05:35:00+00:00,51.514325484581036,37.513184486592856,24.500000055466842
2022-01-15 05:40:00+00:00,51.50955032305402,37.50878965772857,24.500000036977895
2022-01-15 05:45:00+00:00,51.53970021536935,37.50585977181905,24.50000002465193
2022-01-15 05:50:00+00:00,51.559800143579565,37.50390651454603,24.500000016434615
2022-01-15 05:55:00+00:00,51.573200095719706,37.50260434303069,24.50000001095641
2022-01-15 06:00:00+00:00,51.58213339714647,37.50173622868713,24.500000007304276
2022-01-15 06:05:00+00:00,51.58808893143098,37.467824152458086,24.50000000486952
2022-01-15 06:10:00+00:00,51.59205928762066,37.44521610163872,24.500000003246345
2022-01-15 06:15:00+00:00,51.5947061917471,37.39681073442581,24.500000002164228
2022-01-15 06:20:00+00:00,51.59647079449807,37.364540489617205,24.500000001442817
2022-01-15 06:25:00+00:00,51.59764719633205,37.3096936597448,24.500000000961876
2022-01-15 06:30:00+00:00,51.59843146422136,37.27312910649653,24.50000000064125
2022-01-15 06:35:00+00:00,51.59895430948091,37.248752737664354,24.5000000004275
2022-01-15 06:40:00+00:00,51.59930287298727,37.23250182510957,24.500000000285002
2022-01-15 06:45:00+00:00,51.599535248658185,37.255001216739714,24.50000000019
2022-01-15 06:50:00+00:00,51.599690165772124,37.27000081115981,24.500000000126665
2022-01-15 06:55:00+00:00,51.599793443848085,37.28000054077321,24.50000000008444
2022-01-15 07:00:00+00:00,51.599862295898724,37.28666702718214,24.500000000056293
2022-01-15 07:05:00+00:00,51.59990819726582,37.29111135145476,24.500000000037527
2022-01-15 07:10:00+00:00,51.59993879817721,37.294074234303174,24.50000000002502
2022-01-15 07:15:00+00:00,51.63329253211814,37.29604948953545,24.500000000016684
2022-01-15 07:20:00+00:00,51.65552835474543,37.297366326356965,24.500000000011124
2022-01-15 07:25:00+00:00,51.670352236496946,37.29824421757131,24.500000000007418
2022-01-15 07:30:00+00:00,51.6802348243313,37.298829478380874,24.500000000004945
2022-01-15 07:35:00+00:00,51.686823216220866,37.29921965225392,24.500000000003297
2022-01-15 07:40:00+00:00,51.691215477480576,37.29947976816928,24.5000000000022
2022-01-15 07:45:00+00:00,51.66081031832039,37.299653178779515,24.500000000001467
2022-01-15 07:50:00+00:00,51.64054021221359,37.29976878585301,24.500000000000977
2022-01-15 07:55:00+00:00,51.627026808142396,37.29984585723534,24.500000000000654
2022-01-15 08:00:00+00:00,51.61801787209493,37.299897238156895,24.500000000000437
2022-01-15 08:05:00+00:00,51.612011914729955,37.2999314921046,24.500000000000295
2022-01-15 08:10:00+00:00,51.608007943153304,37.29995432806973,24.5000000000002
2022-01-15 08:15:00+00:00,51.60533862876887,37.299969552046484,24.50000000000013
2022-01-15 08:20:00+00:00,51.603559085845916,37.29997970136432,24.500000000000085
2022-01-15 08:25:00+00:00,51.602372723897275,37.29998646757621,24.500000000000057
2022-01-15 08:30:00+00:00,51.60158181593152,37.29999097838414,24.50000000000004
2022-01-15 08:35:00+00:00,51.60105454395435,37.299993985589424,24.50000000000003
2022-01-15 08:40:00+00:00,51.6007030293029,37.29999599039295,24.500000000000018
2022-01-15 08:45:00+00:00,51.600468686201935,37.29999732692863,24.46666666666668
2022-01-15 08:50:00+00:00,51.60031245746796,37.29999821795242,24.444444444444454
2022-01-15 08:55:00+00:00,51.60020830497864,37.29999881196828,24.429629629629634
2022-01-15 09:00:00+00:00,51.60013886998576,37.29999920797885,24.419753086419757
2022-01-15 09:05:00+00:00,51.60009257999051,37.2999994719859,24.41316872427984
2022-01-15 09:10:00+00:00,51.600061719993676,37.299999647990596,24.40877914951989
2022-01-15 09:15:00+00:00,51.60004114666245,37.3333330986604,24.405852766346595
2022-01-15 09:20:00+00:00,51.600027431108295,37.355555399106926,24.40390184423106
2022-01-15 09:25:00+00:00,51.60001828740553,37.37037026607128,24.402601229487374
2022-01-15 09:30:00+00:00,51.60001219160369,37.38024684404752,24.401734152991583
2022-01-15 09:35:00+00:00,51.6000081277358,37.386831229365015,24.40115610199439
2022-01-15 09:40:00+00:00,51.60000541849053,37.39122081957668,24.400770734662927
2022-01-15 09:45:00+00:00,51.60000361232702,37.42748054638445,24.367180489775283
2022-01-15 09:50:00+00:00,51.60000240821802,37.451653697589634,24.344786993183522
2022-01-15 09:55:00+00:00,51.600001605478674,37.46776913172642,24.329857995455683
